Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,
2025-06-19,1560.2352294921875,1421.028076171875,3294.370849609375,1571.4183055533617,1427.5715425014369,3320.3486571267385,1553.5831898154863,1413.4930508573852,3283.787298398597,1565.5375611980423,1417.8554020854735,3319.386516107577,5147760,10007230,2672768
2025-06-20,1564.573486328125,1453.6463623046875,3305.627685546875,1572.0930860674746,1458.4053131642288,3315.826473793808,1551.076642111549,1415.8725983169522,3281.7665424976394,1560.8136276168789,1418.7477927518771,3295.332824141505,9202821,29010635,2351248
2025-06-23,1527.071533203125,1444.326904296875,3265.121826171875,1543.4605584963404,1451.266970188698,3295.332959933054,1518.7806380620095,1429.6535737155343,3242.4152043720856,1543.4605584963404,1440.5593915455418,3285.71154983106,7943676,5989078,3123421
2025-06-24,1524.7576904296875,1438.378173828125,3262.042724609375,1551.172965207259,1462.3709229333156,3311.785601803136,1519.9373891083474,1430.7440292763747,3253.9608342374113,1543.4604830931148,1452.4565437947847,3304.569544364703,8083992,16402744,3403048
2025-06-25,1556.8609619140625,1454.737060546875,3314.38330078125,1561.6812632899293,1459.7933702625824,3319.3863869066126,1528.1319186406413,1447.9952335758323,3271.2793378210094,1532.8558375256184,1451.4652666586912,3278.3030139670477,7813533,7525851,1757699
2025-06-26,1557.92138671875,1482.4971923828125,3311.496826171875,1565.6338688312192,1485.9672251547677,3320.7332385135887,1548.8591966999713,1452.55569413543,3286.000090554292,1550.9801998907828,1456.5214458748073,3314.3832490719788,6519233,14657893,2879106
2025-06-27,1550.208984375,1502.425048828125,3310.82373046875,1571.0326636135578,1508.9685148979506,3335.1657116254887,1544.8102701550988,1484.0834473001275,3301.106011701098,1560.8136478253264,1486.5620421012081,3324.197397384813,8912268,11117052,1778433
2025-06-30,1544.2318115234375,1487.7518310546875,3330.93212890625,1556.9573602116636,1511.7447031481738,3333.7222438362,1536.8084767193552,1483.191240482831,3300.143617027278,1556.9573602116636,1500.838885203447,3309.6687189307536,6294505,8409527,1468351
2025-07-01,1549.05224609375,1515.3138427734375,3299.855224609375,1559.5604099565173,1518.2881567329412,3353.061673466305,1542.9786187031953,1487.256099345396,3284.2685860479864,1551.1731318297038,1487.7518183386467,3324.1974409830946,4178937,10368523,2375183
2025-07-02,1552.619140625,1505.796142578125,3293.697265625,1589.735462831807,1516.9002002088087,3357.7757139896216,1545.7743359105034,1495.7825215605471,3290.5221534097136,1559.8495930029494,1515.3139235508756,3355.1779803217332,8653641,6361002,3090585
2025-07-03,1560.5244140625,1504.8045654296875,3272.049072265625,1573.7321112354073,1518.783816287235,3305.242935877825,1556.9574379034102,1500.0456148706696,3268.9702681275116,1560.331649069145,1507.7788792727886,3300.143541734672,5259695,11283291,2531870
2025-07-04,1581.733642578125,1514.223388671875,3290.329833984375,1584.3366759246808,1516.900223008299,3297.257202194738,1554.3544249759318,1504.2097675037892,3261.7542933055606,1566.5979433677658,1510.9515946827762,3278.9765232213795,4411273,6603501,1109320
2025-07-07,1568.5262451171875,1528.3016357421875,3282.53662109375,1584.915271648836,1531.5734294639212,3296.3915933540857,1564.670003580329,1511.9429091838053,3279.361508602982,1581.0590301119776,1513.5291857359532,3288.8868460752856,3294523,7251074,1639174
2025-07-08,1579.8055419921875,1524.43505859375,3277.24462890625,1587.035994129852,1531.6726044702705,3295.3329266950955,1563.2237521630664,1517.0983931213486,3264.929177120374,1569.490144015709,1522.8487819842126,3276.090106685197,4590681,7171261,2325242
2025-07-09,1574.9853515625,1505.9942626953125,3255.69287109375,1579.1308581535004,1537.7202774459709,3284.7494832808984,1565.2483655342028,1497.1704406377573,3239.5288547764453,1578.9380931561673,1523.5426661942138,3280.90091915286,4580828,8870660,2034938
2025-07-10,1557.728759765625,1504.209716796875,3253.960693359375,1579.9985303020203,1511.6455019531181,3270.317089511684,1549.3413641152463,1494.5928164048603,3228.945028655843,1579.9985303020203,1506.688311848956,3252.036411459103,5330179,10047129,3035012
2025-07-11,1537.5797119140625,1482.3980712890625,3142.352294921875,1549.341199857552,1502.0285923917668,3208.740019462478,1506.826166489392,1477.540121836759,3137.6378982976325,1522.3475129338776,1499.0542783474266,3174.968778671878,11391755,7234991,7635550
2025-07-14,1513.8638916015625,1470.9964599609375,3100.691650390625,1534.5911874414394,1487.1569471972039,3148.1252470894524,1503.7412587495296,1466.4358695278945,3078.8510973979974,1534.5911874414394,1479.4236826617216,3142.352401281831,9173426,10311846,3924009
2025-07-15,1528.614013671875,1472.6820068359375,3129.171142578125,1545.967099361679,1483.6869442622558,3136.002202567695,1507.790334380739,1469.7076928815193,3084.623968418985,1508.8507771918205,1473.4750846086956,3084.623968418985,7614807,8132454,2590889
2025-07-16,1550.1126708984375,1472.8802490234375,3121.2548828125,1554.0652948238287,1478.234038357326,3132.6464874286985,1521.769272878048,1458.9009976142222,3109.187305299685,1522.2513030563432,1460.388154594461,3115.365810708297,6223491,10409983,2540733
2025-07-17,1526.589599609375,1463.759033203125,3098.181640625,1552.1371994765352,1476.845965908467,3129.8470122556437,1523.3117708067696,1461.2804382949055,3093.2582102459683,1540.5684750083872,1474.6648507992907,3112.5663349360093,7374814,11854613,2947640
2025-07-18,1529.095947265625,1463.3624267578125,3079.549072265625,1541.821613244393,1472.0871292027396,3117.103513998714,1523.2152032454187,1456.521480639079,3076.749488627971,1534.8803087969368,1472.0871292027396,3113.434923384125,5161833,10296318,3432645
2025-07-21,1527.36083984375,1416.3682861328125,3048.94580078125,1531.8918763569468,1463.362470991638,3086.982946316993,1510.4897839367352,1410.9153771961905,3042.960329505588,1523.2153333190533,1452.4566531183941,3079.645764950135,3682661,22442744,3844346
2025-07-22,1514.4423828125,1400.70361328125,3050.297607421875,1528.806905141675,1419.640054314783,3070.0884350644405,1508.7544033781517,1398.6214967228645,3045.470576289542,1508.7544033781517,1415.178583447059,3050.297607421875,8473741,20396320,3198036
2025-07-23,1517.9129638671875,1412.4024658203125,3069.122802734375,1534.6876368616054,1413.7905031420296,3071.92238630693,1494.2934861823694,1402.2898472373465,3048.3665703944635,1519.648319505044,1413.7905031420296,3050.297382705153,8035026,8354596,1922875
2025-07-24,1496.70361328125,1390.8883056640625,3039.098876953125,1525.14339208434,1410.8161839876018,3063.909770455093,1492.558106924831,1384.0473596954969,3031.3756269481614,1523.21527148752,1407.0486714179167,3055.6074181166887,14169664,14740507,2934778
2025-07-25,1461.2261962890625,1379.7841796875,3027.32080078125,1493.8114825426642,1389.0046012536307,3047.6907301283586,1456.9844249801497,1372.2492752918665,3017.47370470728,1487.930738061539,1386.9226057137396,3031.375459671135,10851259,11854722,2568917
2025-07-28,1461.515380859375,1375.7193603515625,2972.775146484375,1464.6968268487494,1395.746480796028,3010.136316617078,1429.2193615593824,1373.1416457270684,2963.700187435582,1459.4908778130184,1380.379191620021,3002.41306756867,6439855,7748361,3374473
2025-07-29,1459.2979736328125,1404.966796875,2950.281494140625,1462.6721845547067,1408.0402305383973,2967.658806606113,1442.3305365336291,1371.1587845273314,2935.993434530025,1458.5267960319763,1371.1587845273314,2954.1431191329557,7070448,10750072,4785312
2025-07-30,1464.40771484375,1398.0267333984375,2947.96435546875,1467.0106307922656,1411.1137879299629,2962.831516110354,1451.8749299240865,1389.3021514025702,2941.7856146047457,1465.2753927209724,1405.9582375902166,2954.14286063789,5719051,7209849,2880121
2025-07-31,1454.76708984375,1378.2969970703125,2931.74560546875,1472.21655890233,1390.5908519212596,2953.9499481457733,1443.198365471235,1370.365493427784,2910.6997030967705,1455.4418850255533,1376.215001569177,2936.47600158721,6851407,17065827,2968371
2025-08-01,1416.782958984375,1381.76708984375,2899.11474609375,1444.8370894973941,1393.8627060383,2931.7455219766357,1412.83033538686,1372.4476694796913,2896.2185275661836,1440.2096707795008,1375.025384070285,2925.0840779463133,8702978,10321171,2053847
2025-08-04,1427.291259765625,1399.4146728515625,2968.044677734375,1429.5086455065348,1403.975263237478,2972.8717086542492,1398.8514812022438,1379.7841529413568,2888.1092342571515,1408.9741142502269,1383.155066191865,2905.0038424767117,8610216,6312820,2519252
2025-08-05,1407.8172607421875,1379.7841796875,2957.907958984375,1425.5558755811649,1398.918980991344,2971.0375775693733,1402.7076942328947,1376.2150271869518,2936.7656575031788,1425.5558755811649,1398.918980991344,2968.044724074376,10213323,9315972,1927996
2025-08-06,1385.0654296875,1380.8748779296875,2927.401123046875,1403.768223634903,1383.9483114870873,2960.7076353045086,1378.895537719122,1371.456217044825,2921.319017147813,1399.8155998166778,1379.9825595355662,2957.0390447864347,10566934,5834312,1487081
2025-08-07,1385.2581787109375,1377.50390625,2941.5927734375,1390.1748623852432,1381.7670168023217,2946.0337363593026,1363.3739407112198,1354.3042341107182,2906.741514367591,1378.60613953599,1375.818389126872,2911.665180402855,9892020,9976705,2543076
2025-08-08,1371.9542236328125,1356.0888671875,2931.359130859375,1381.6912093691872,1385.2370458989403,2953.94977611907,1366.169861688454,1353.312792536344,2920.353595060068,1373.785961785155,1373.1415514013454,2942.6545713366527,10048009,8793606,2762140
2025-08-11,1376.870849609375,1374.331298828125,2935.607421875,1381.884033692687,1376.1159356273254,2944.392477481908,1363.1812406590395,1349.5453489789295,2916.7819996810535,1368.8692198674414,1358.2700517359046,2931.359492886099,6625368,9997486,1884215
2025-08-12,1372.9183349609375,1368.5810546875,2930.393798828125,1389.2109785794498,1389.8969719255274,2989.2835752923374,1369.9297713819558,1363.4255044148417,2922.187846369997,1376.8709588997938,1370.0682117041065,2935.8001676667204,9899184,12244664,3358232
2025-08-13,1375.3284912109375,1370.7620849609375,2931.166259765625,1382.462561438393,1379.8833867126677,2939.0825434733065,1371.279484756972,1365.7057756228248,2923.8293140563796,1373.7860181657672,1376.115874093997,2931.0698605624675,10318063,7457021,2148166
2025-08-14,1395.6700439453125,1367.4774169921875,2917.7470703125,1417.1686356270611,1374.3455639562076,2950.1845757137776,1374.9427475738962,1363.794372575189,2914.6578177545016,1374.9427475738962,1370.961308962897,2929.0422751905776,12902347,7126128,3342174
2025-08-18,1384.19775390625,1375.3409423828125,2907.03125,1412.0590009823861,1388.4802648218374,2943.5236533530624,1378.2205097468736,1370.6626218339861,2899.501034118434,1412.0590009823861,1383.602791829514,2941.1101377304376,7254561,11785109,2945609
2025-08-19,1388.2469482421875,1413.564208984375,2911.8583984375,1397.309139357621,1414.460091190419,2920.3540209100356,1381.2092603896435,1382.7068811681168,2906.9349677861255,1381.2092603896435,1383.6027633741608,2907.0313669979796,3986094,14384719,2650784
2025-08-20,1442.427001953125,1406.4969482421875,2991.40771484375,1445.1264179190935,1418.342205158243,2996.0414760002127,1388.921654258322,1403.510755146132,2906.741403418293,1388.921654258322,1406.4969482421875,2906.741403418293,10413061,8725641,4952358
2025-08-21,1442.619873046875,1418.24267578125,2995.26953125,1453.802949118853,1425.3099750709036,3021.721568272579,1430.9547668193538,1413.7633861810953,2976.444109339037,1453.802949118853,1418.4417067156319,3021.721568272579,6565539,11021323,3230726
2025-08-22,1434.0396728515625,1402.71435546875,2948.3505859375,1450.2359327005538,1416.84907536351,2988.6079780367672,1432.6899649169563,1401.4204113959267,2944.4889610705222,1444.258688328196,1413.464698965694,2979.2435848733217,5543397,5818868,1593791
2025-08-25,1477.0367431640625,1406.0987548828125,3031.954833984375,1483.6887826854402,1412.9670232567023,3042.960370488012,1452.549588321255,1399.230486508923,2970.6515397185153,1452.549588321255,1408.1890657335161,2980.498635910434,10694531,5979407,3448370
2025-08-26,1474.6265869140625,1378.5262451171875,3047.980712890625,1483.1103644867733,1403.5107021083375,3052.6147102538985,1464.021923789744,1375.241384232256,3012.0676457913232,1468.2638125760993,1401.519906786198,3020.756302461875,15994798,12145259,5522097
2025-08-28,1446.1868896484375,1379.521728515625,2986.677001953125,1474.6266696224122,1385.7926612650012,3037.650494543196,1444.162386475055,1360.2109883890075,2979.7261247124025,1474.6266696224122,1383.50331940736,3036.202385297426,5443364,13161813,3116051
2025-08-29,1416.782958984375,1350.9537353515625,2977.988525390625,1447.922152992462,1397.0406983353935,3007.2403810515466,1414.951220922169,1343.7869203796088,2970.747978726777,1447.922152992462,1374.7437651325777,2986.001444170926,8169075,18758842,2271789
2025-09-01,1445.5120849609375,1347.6689453125,3004.92333984375,1449.368326287933,1356.9260708455383,3022.7833539936464,1423.1458146544753,1334.430107544873,2983.105066117822,1423.6278448203498,1349.759256141992,2983.105066117822,4546057,11232238,1246862
2025-09-02,1444.837158203125,1360.2109375,3003.861328125,1458.4305028963795,1378.128095842481,3045.8564969417885,1432.8829043510907,1348.2661652716795,2995.7520104934983,1445.5120710387366,1348.5648331807902,3013.1293217280318,5218763,11517006,2185229
2025-09-03,1425.9415283203125,1366.2828369140625,2990.345703125,1447.9221496497632,1370.1649121838109,3033.2096441073413,1420.0607841831338,1354.2385492379765,2981.1743442292172,1446.0904115917858,1363.3961593284287,3021.6247697126682,4623483,7847563,1799774
